Sample_Date,Mean viral gene copies/L
2/7/22,4361033
2/8/22,4061033
2/9/22,4131344
2/11/22,3147814
2/14/22,3369030
2/16/22,3127804
2/21/22,1930361
2/23/22,1673775
2/24/22,1191839
2/26/22,965562
2/27/22,735862
3/1/22,457430
3/3/22,302273
3/6/22,323516
3/8/22,341580
3/10/22,407551
3/13/22,410328
3/17/22,439165
3/20/22,418775
3/24/22,506488
3/27/22,466846
3/29/22,463686
3/31/22,436192
4/3/22,457611
4/8/22,504297
4/11/22,487612
4/13/22,479892
4/14/22,506185
4/17/22,520131
4/19/22,530533
4/21/22,495885
4/24/22,508799
4/28/22,532436
5/1/22,564628
5/3/22,625421
5/5/22,621403
5/8/22,645260
5/10/22,672233
5/26/22,738156
5/29/22,762028
6/1/22,780766
6/2/22,768173
6/9/22,752535
6/12/22,729403
6/15/22,732535
6/19/22,689495
6/21/22,663495
6/30/22,726571
7/4/22,767140
7/5/22,818850
7/7/22,1216372
7/10/22,1624976
7/12/22,1773254
7/17/22,1765977
7/19/22,1485019
7/21/22,1577355
7/24/22,1854614
7/26/22,1614190
7/31/22,1356000
8/2/22,1553900
8/4/22,1353777
8/7/22,1075152
8/9/22,1068487
8/14/22,1181831
8/16/22,984859
8/18/22,902518
8/21/22,787576
8/23/22,866676
8/25/22,840382
8/28/22,773579
9/4/22,688239
9/8/22,584131
9/11/22,576250
9/13/22,509939
9/15/22,502662
9/18/22,583670
9/21/22,466477
10/4/22,513248
10/10/22,268742
10/19/22,238324
10/21/22,103047
10/24/22,152315
10/26/22,104706
10/28/22,133723
10/30/22,258361
11/03/22,317106
11/06/22,104902
11/08/22,219813
11/11/22,111846
11/18/22,369217
11/20/22,791006
11/22/22,763103
11/25/22,876233
11/30/22,2011943
12/01/22,1042574
12/04/22,788282
12/06/22,797066
12/08/22,933875
12/12/22,552768
12/15/22,1007514
12/18/22,676465
12/20/22,341384
12/22/22,1777747
12/25/22,1398365
12/27/22,1599407
12/30/22,2635067
01/08/23,202134
01/10/23,257518
01/12/23,315168
01/15/23,167509
01/17/23,342787
01/19/23,215574
01/22/23,342181
01/23/23,191189
01/26/23,166734
01/29/23,481483
01/31/23,155507
02/02/23,245234
02/05/23,135626
02/14/23,872514
02/16/23,1001240
02/19/23,210707
02/21/23,113193
02/26/23,162807
02/28/23,107977
03/02/23,1113171
03/05/23,817935
03/07/23,329566
03/12/23,442543
03/16/23,390825
03/19/23,216092
03/21/23,204729
03/26/23,262356
03/28/23,265813
03/30/23,409780
04/02/23,360591
04/06/23,317301
04/09/23,523250
04/11/23,329256
04/13/23,1027523
04/16/23,228940
04/18/23,521770
04/20/23,311797
04/23/23,192617
04/26/23,216379
04/27/23,421518
04/30/23,124381
05/02/23,384019
05/04/23,506595
05/09/23,402936
05/11/23,846995
05/14/23,610052
05/16/23,157738
05/18/23,272973
05/21/23,192339
05/23/23,221755
05/25/23,469430
05/28/23,413262
05/30/23,221297
06/04/23,212314
06/06/23,208189
06/08/23,389117
06/13/23,229210
06/15/23,138985
06/26/23,104510
06/29/23,65761
07/02/23,103470
07/04/23,120779
07/06/23,81930
07/13/23,116392
07/16/23,86316
07/18/23,357182
07/20/23,116930
07/23/23,202231
07/25/23,63406
07/30/23,236440
08/01/23,248338
08/03/23,228715
08/06/23,137925
08/08/23,276500
08/10/23,271385
08/13/23,193323
08/15/23,275163
08/17/23,298487
08/24/23,224384
08/29/23,256269
08/31/23,2107698
09/05/23,2527327
09/07/23,1111533
09/10/23,673350
09/12/23,1579628
09/14/23,663845
09/17/23,769212
09/19/23,842311
09/21/23,850160
09/24/23,1022433
09/26/23,671274
09/28/23,819657
10/01/23,577413
10/03/23,451311
